Point,r (m),C,q_method1 (C),dq_method1 (C),q_method2 (C),dq_method2 (C)
31.0,5.696120962632058e-07,1.1425195480560844,1.640782198116325e-19,8.282013476553778e-21,1.5302105625904748e-19,7.728509252162782e-21
32.0,5.825255895825009e-07,1.139362022901536,1.698878664748287e-19,8.498884763217868e-21,1.5974350102100056e-19,8.015480721281131e-21
33.0,7.592178390614195e-07,1.1069403939232438,1.6988084595039128e-19,8.55650055734205e-21,1.635789147132801e-19,8.249397003861517e-21
34.0,6.757930158579828e-07,1.1201370641634987,1.5452462918084451e-19,7.728878089362915e-21,1.5485852720273173e-19,7.757042238279908e-21
35.0,5.75095665858519e-07,1.141161436047883,1.7680998893255782e-19,8.848349210688586e-21,1.7253012181980866e-19,8.640733886580135e-21
36.0,4.160346087319357e-07,1.195073748325832,1.29190982693875e-19,6.4893631688270076e-21,1.4721819254020465e-19,7.399573732154557e-21
37.0,5.893131354074328e-07,1.1377578025820136,1.696646957417425e-19,8.486178969659032e-21,1.5392039147413283e-19,7.713607065434403e-21
38.0,5.85799712639395e-07,1.1385835551582115,1.5456618926510172e-19,7.7371204070084e-21,1.5273750269674186e-19,7.65005761553797e-21
39.0,6.789973418679829e-07,1.1195703376719524,1.6220276846167223e-19,8.11251040326366e-21,1.611236190539549e-19,8.080699882003462e-21
40.0,5.016785657429233e-07,1.1618036825549267,1.3144714938742216e-19,6.578063393191194e-21,1.4430602909293373e-19,7.22496195692811e-21
41.0,6.379235355755068e-07,1.1272656829239474,1.7144046821510752e-19,8.575718679708185e-21,1.7037219417441942e-19,8.526253553479138e-21
43.0,6.011230444283374e-07,1.1350528308052306,1.4128212100814564e-19,7.071453015531919e-21,1.4696080210135335e-19,7.357507390594458e-21
45.0,5.01603460017354e-07,1.1618278893564316,1.5982978583393738e-19,7.995933703609209e-21,1.5984916959039693e-19,8.004351724827262e-21
46.0,5.776747282887348e-07,1.1405315872460773,1.6339601400027756e-19,8.17975647971085e-21,1.543800510139048e-19,7.737798939354369e-21
47.0,5.154908977409183e-07,1.1574716929092432,1.4932102818758706e-19,7.474247348301984e-21,1.6357838053588584e-19,8.5800529412747e-21
48.0,5.022586465248129e-07,1.1616169643125815,1.5238924002328384e-19,7.677912385424089e-21,1.4416760587427293e-19,7.266329992528578e-21
49.0,5.029557149615604e-07,1.1613931586544084,1.3834042955004882e-19,6.927909978979815e-21,1.4442989005205308e-19,7.239069831010655e-21
50.0,7.105359227430519e-07,1.1142648992196862,1.56493401323665e-19,7.836239423773424e-21,1.5437336527077385e-19,7.748103824534281e-21
51.0,8.332171864644401e-07,1.0974452331713191,3.1409175397045385e-19,1.570602343475279e-20,3.104451707944102e-19,1.554076809154987e-20
52.0,5.391582342043537e-07,1.1505642003633585,1.804397382971691e-19,9.052322644193333e-21,1.6712411063020153e-19,8.387207677848828e-21
53.0,5.289822210070877e-07,1.1534584970505088,1.6054167294837248e-19,8.028438736685758e-21,1.573561379290669e-19,7.882689592795714e-21
54.0,6.100473557440757e-07,1.1330781921655584,1.2802058022107857e-19,6.407764018305961e-21,1.5781773147747562e-19,8.017097232576131e-21
55.0,5.563301756156326e-07,1.145919909122036,1.647556818656698e-19,8.25085434624977e-21,1.613014728091804e-19,8.111917925453995e-21
56.0,5.194063318819838e-07,1.1562855439167536,1.6948325055581776e-19,8.47973364606789e-21,1.5857692609640248e-19,7.938029847757987e-21
57.0,5.159933338434362e-07,1.157318478540616,2.053973561286617e-19,1.0289944582015575e-20,1.7400949700376483e-19,8.735125314709975e-21
58.0,4.7083822205578835e-07,1.172392092565705,1.4044950690809965e-19,7.03764778160159e-21,1.4302655262214742e-19,7.174949977096936e-21
59.0,6.485844000683765e-07,1.1251747401800238,1.6316314338222338e-19,8.163944891853725e-21,1.6229514136135958e-19,8.129053529989176e-21
60.0,5.434785415577488e-07,1.1493681400892723,1.286188451074018e-19,6.455575009454624e-21,1.4026257612147841e-19,7.048483733430617e-21
61.0,6.306320006436316e-07,1.1287364682733936,1.4833775389020836e-19,7.421439136146315e-21,1.5489354969570129e-19,7.761834427589131e-21
62.0,5.950047202023968e-07,1.1364407954857654,1.9547819328716832e-19,9.77749414998369e-21,1.5844949695203325e-19,7.930797913814129e-21
63.0,5.800320541042938e-07,1.1399607845815072,1.6411228273018887e-19,8.223866108605826e-21,1.615704963525332e-19,8.106711406251763e-21
64.0,6.466169247017191e-07,1.1255554422741652,1.379284388033792e-19,6.903187260266373e-21,1.4666549481274018e-19,7.344446915569876e-21
65.0,6.762706213655102e-07,1.1200522531081738,1.624062636395321e-19,8.130768832430864e-21,1.609291711431895e-19,8.06265966898208e-21
66.0,4.639060363078962e-07,1.1749655895227382,1.5688975028023235e-19,7.853093356663508e-21,1.579627313911161e-19,7.913228083962926e-21
