Point,r (m),dr (m),C,dC,q_method1 (C),dq_method1 (C),q_method2 (C),dq_method2 (C)
20.0,6.094809435334043e-07,1.4395925178343295e-09,1.133201802359408,0.0003966376517838165,2.649034648881726e-19,1.3380036125662386e-20,2.819110490561556e-19,1.4239073929014338e-20
21.0,5.199755767683619e-07,6.914431756245861e-10,1.1561145811623175,0.00030371622334637594,1.7597276470058126e-19,8.828279252730857e-21,1.7153332676721245e-19,8.605559572968863e-21
22.0,5.334342239985357e-07,5.813679822493507e-10,1.1521786723563392,0.00025955216596645393,1.667291836747241e-19,8.355857596882025e-21,1.5465362273916699e-19,7.750674596785064e-21
23.0,5.306770857080366e-07,6.16200180836433e-10,1.152968743269835,0.00027180606014761246,1.6007371243905721e-19,8.024616210408571e-21,1.6147031884954236e-19,8.094629145514367e-21
24.0,7.066264263289852e-07,5.028626437665471e-10,1.1148968591831006,0.00015251241207896393,3.376075695093811e-19,1.689899049983262e-20,3.190574835526408e-19,1.597046355119345e-20
25.0,5.160492506152156e-07,6.155704330718251e-10,1.1573014455374262,0.0002844893553488603,1.2863841708328794e-19,6.44960254224494e-21,1.6933933553358888e-19,8.490242912833488e-21
26.0,5.32966288083332e-07,9.222210985552095e-10,1.152312186363914,0.0003573340337008241,3.227029327668874e-19,1.62249478304074e-20,3.108885078965186e-19,1.5630938889972786e-20
27.0,4.350243201225729e-07,5.419242318416259e-10,1.1865686736487233,0.0003472789553749349,1.59677123452228e-19,8.007652123664826e-21,1.4543315804752712e-19,7.29333114044342e-21
28.0,4.580412205473945e-07,9.362583047381885e-10,1.1772035615918417,0.00047131037787810116,1.567345808500791e-19,7.896936632172598e-21,1.5306370425998605e-19,7.71198268225762e-21
29.0,4.499680205118379e-07,7.893166753182805e-10,1.1803794927351299,0.00042746815455855494,1.4110916302672516e-19,7.095773342201738e-21,1.4581404916773698e-19,7.33236184532512e-21
30.0,4.6720650106745905e-07,5.186416138478244e-10,1.1737308203115573,0.00029982123342746364,1.322645966725543e-19,6.629146980018812e-21,1.5096560569840644e-19,7.56644797080433e-21
31.0,5.696120962632058e-07,1.9819481701810745e-09,1.1425195480560844,0.0005836413475838697,1.640782198116325e-19,8.382323306403855e-21,1.5302105625904748e-19,7.817441996404526e-21
32.0,5.825255895825009e-07,5.058220676397582e-10,1.139362022901536,0.00020682104756514393,1.698878664748287e-19,8.507539267075656e-21,1.5974350102100056e-19,7.99953602217767e-21
33.0,7.592178390614195e-07,2.320447574741476e-09,1.1069403939232438,0.0003926965799511691,1.6988084595039128e-19,8.637284926814812e-21,1.635789147132801e-19,8.316874609927062e-21
34.0,6.757930158579828e-07,4.863959243609482e-10,1.1201370641634987,0.0001604412339422926,1.5452462918084451e-19,7.734911383839724e-21,1.5485852720273173e-19,7.75162504058317e-21
35.0,5.75095665858519e-07,6.316326894243153e-10,1.141161436047883,0.00024195576841830088,1.7680998893255782e-19,8.861364275041556e-21,1.7253012181980866e-19,8.646865864834049e-21
36.0,4.160346087319357e-07,1.0130517833906894e-09,1.195073748325832,0.0005950980127888361,1.29190982693875e-19,6.5293510005390616e-21,1.4721819254020465e-19,7.440451591251114e-21
37.0,5.893131354074328e-07,4.270464389017518e-10,1.1377578025820136,0.0001846482184495452,1.696646957417425e-19,8.49287333110084e-21,1.5392039147413283e-19,7.704763693756754e-21
38.0,5.85799712639395e-07,7.229896657040857e-10,1.1385835551582115,0.00025636858804692044,1.5456618926510172e-19,7.750946799105466e-21,1.5273750269674186e-19,7.659244646319092e-21
39.0,6.789973418679829e-07,4.5802152834184897e-10,1.1195703376719524,0.00015428160205521247,1.6220276846167223e-19,8.118330908619596e-21,1.611236190539549e-19,8.064318932900696e-21
40.0,5.016785657429233e-07,5.459772756394434e-10,1.1618036825549267,0.00027571452825820284,1.3144714938742216e-19,6.587610880434773e-21,1.4430602909293373e-19,7.232047037879018e-21
41.0,6.379235355755068e-07,5.063110719166533e-10,1.1272656829239474,0.00017937150105232908,1.7144046821510752e-19,8.583378158388213e-21,1.7037219417441942e-19,8.529893703034823e-21
42.0,6.463831981575442e-07,6.307506716208577e-10,1.1256008217295161,0.00019990063826762336,1.6612201907013617e-19,8.321914059418504e-21,1.6678582497466335e-19,8.355167542132784e-21
43.0,6.011230444283374e-07,7.104451909424924e-10,1.1350528308052306,0.00024277025551622494,1.4128212100814564e-19,7.083194735388036e-21,1.4696080210135335e-19,7.367896038966549e-21
45.0,5.01603460017354e-07,4.4611561086621174e-10,1.1618278893564316,0.0002435650062541341,1.5982978583393738e-19,8.004388407386282e-21,1.5984916959039693e-19,8.00535915958173e-21
46.0,5.776747282887348e-07,7.357982589897094e-10,1.1405315872460773,0.0002655274306304567,1.6339601400027756e-19,8.195184785551035e-21,1.543800510139048e-19,7.742985977978608e-21
47.0,5.154908977409183e-07,6.256531148517954e-10,1.1574716929092432,0.0002880806915838014,1.4932102818758706e-19,7.487248462466035e-21,1.6357838053588584e-19,8.202140000143715e-21
48.0,5.022586465248129e-07,1.5705683252967986e-09,1.1616169643125815,0.0006048805641330974,1.5238924002328384e-19,7.753845273417254e-21,1.4416760587427293e-19,7.335513381504586e-21
49.0,5.029557149615604e-07,7.243770120323783e-10,1.1613931586544084,0.0003318148112566215,1.3834042955004882e-19,6.944120078451488e-21,1.4442989005205308e-19,7.249785928098188e-21
50.0,7.105359227430519e-07,9.908970420166527e-10,1.1142648992196862,0.00022970920527224447,1.56493401323665e-19,7.853508258500652e-21,1.5437336527077385e-19,7.747115781189327e-21
51.0,8.332171864644401e-07,3.7369600067157763e-10,1.0974452331713191,0.00010370624178460919,3.1409175397045385e-19,1.57132807413914e-20,3.104451707944102e-19,1.5530850656972825e-20
52.0,5.391582342043537e-07,1.1213761561802966e-09,1.1505642003633585,0.00040585629155143546,1.804397382971691e-19,9.093680592647528e-21,1.6712411063020153e-19,8.422608543681233e-21
53.0,5.289822210070877e-07,2.9054430785635765e-10,1.1534584970505088,0.00017877432321154458,1.6054167294837248e-19,8.032978477067371e-21,1.573561379290669e-19,7.873584758426759e-21
54.0,6.100473557440757e-07,7.248453993548198e-10,1.1330781921655584,0.00024006134668329467,1.2802058022107857e-19,6.418497922098768e-21,1.5781773147747562e-19,7.912421423252822e-21
55.0,5.563301756156326e-07,8.036408492406514e-10,1.145919909122036,0.0003006327057738242,1.647556818656698e-19,8.27024018764102e-21,1.613014728091804e-19,8.096849271880167e-21
56.0,5.194063318819838e-07,4.976548562779125e-10,1.1562855439167536,0.00024596777144808373,1.6948325055581776e-19,8.489774634080146e-21,1.5857692609640248e-19,7.943453764950383e-21
